"Back","رجوع"
"Delete Block","إلغاء الحظر"
"Are you sure you want to do this?","هل انت متأكد من أنك تريد أن تفعل هذا؟"
"Save","حفظ"
"Order Status","حالة الطلب"
"Message","رسالة"
"Add Message","أضف رسالة"
"Payment Method","طريقة الدفع"
"Resend","إعادة ارسال"
"SMS Notifications","إشعارات الرسائل النصية"
"Please enter your mobile number.","الرجاء ادخال رقم الهاتف"
"The otp is not valid.","رمز التحقق غير صالح"
"The mobile number is updated.","تم تحديث رقم الهاتف"
"Sms Notification","إشعارات الرسائل النصية"
"You deleted the rule.","You deleted the rule."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","This rule no longer exists."
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"Rules","Rules"
"Edit Rule #%1","Edit Rule #%1"
"Sms Nofitication","اشعارات الرسائل النصية"
"Block List","قائمة الحظر"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the rule.","You saved the rule."
"Something went wrong while saving the block.","Something went wrong while saving the block."
"Log","السجل"
"You are sending OTP too much times.","لقد قمت بارسال رمز التحقق أكثر من مرة"
"The OTP code is not valid.","رمز التحقق غير صالح"
"The OTP code is expired.","انتهت صلاحية رمز التحقق"
"The mobile number is used by another customer account.","هذا الرقم مسجل بالفعل"
"You are using this mobile number already.","أنت تستخدم نفس رقم الجوال بالفعل"
"The mobile number is not associated to any customer account.","رقم الهاتف ليس مرتبطاً بأي حساب عميل"
"Your sms gateway model is not valid","Your sms gateway model is not valid"
"Your sms gateway config is not valid or not setup correctly.","Your sms gateway config is not valid or not setup correctly."
"The mobile number %1 is blocked by rule #%2","The mobile number %1 is blocked by rule #%2"
"Sms message is not sent: ""%1""","Sms message is not sent: ""%1"""
"Each status can only appear once.","Each status can only appear once."
"Message for payment method %1 is duplicated.","Message for payment method %1 is duplicated."
"Alphanumeric","أبجدي رقمي"
"Alphabetical","أبجدي"
"Numeric","رقمي"
"--Auto detected by customer IP--","--تحديد تلقائي للعميل بالانترنت بروتوكول--"
"Class %1 does not exist","Class %1 does not exist"
"Failed","إخفاق"
"Pending","جاري .."
"Sent","تم الإرسال"
"Delivered","تم التسليم"
"Undelivered","لم يتم التسليم"
"Failed (not enough credit)","إخفاق (لا يوجد رصيد كافي)"
"Edit","تعديل"
"Notify Customer by SMS","أخطر العميل عن طريق الرسائل النصية"
"* Required Fields","* خانة مطلوبة"
"Settings","الإعدادات"
"Go back","رجوع للسابق"
"Click to the button below to verify your phone number","انقر على الزر أدناه للتحقق من رقم هاتفك"
"Get OTP","احصل على رمز التحقق"
"A text message with a %1-digit verification code has been sent to","تم إرسال رسالة نصية بها رمز التحقق المكون من %1 أرقام إلى"
"Your OTP","رمز التحقق الخاص بك"
"Verify","توثيق"
"Resend after %1 seconds","إعادة الإرسال بعد %1 ثانية"
"The mobile number is not valid.","رقم الهاتف غير صالح."
"Please enter your email address below to receive a password reset link.","يرجى إدخال عنوان بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور."
"Email","البريد الإلكتروني"
"or","أو"
"Mobile","رقم الجوال"
"Reset My Password","إعادة تعيين كلمة السر"
"A text message with a %1-digit verification code has been sent to your phone number!","تم إرسال رسالة نصية برمز التحقق المكون من %1 إلى رقم هاتفك"
"Verify Error","خطأ في التوثيق"
"Resend OTP","إعادة ارسال رمز التحقق"
"Send Otp","أرسل رمز التحقق"
"This is required field.","هذه الخانة مطلوبة"
"Error","خطأ"
"Please enter a valid mobile number!","الرجاء إدخال رقم جوال صحيح"
"Verify Your Mobile Number","التحقق من رقم هاتفك"
"Registered Customers","عملاء مسجلون"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Password","كلمة السر"
"Sign In","دخول"
"Forgot Your Password?","نسيت كلمة السر الخاصة بك؟"
"Mobile Number","رقم الجوال"
"Your mobile number is not verified.","رقم الجوال غير موثق"
"Registered Seller","بائع مسجل"
"If you have an account, sign in with your mobile or email address.","إذا كان لديك حساب ، قم بتسجيل الدخول باستخدام هاتفك المحمول أو عنوان بريدك الإلكتروني."
"Checkout as a new customer","تسجيل عميل جديد لإتمام الدفع والخروج"
"Creating an account has many benefits:","تسجيل الحساب له العديد من المزايا"
"See order and shipping status","متابعة الطلب وحالة الشحن"
"Track order history","متابعة تاريخ الطلب"
"Check out faster","إتمام شراء سريع"
"Create an Account","إنشاء حساب"
"Checkout using your account","إتمام الدفع والخروج باستخدام حسابك"
"Email Address","البريد الإلكتروني"
"Please verify your phone number first.","يرجى توثيق رقم جوالك أولا"
"Resend (%1)","اعادة ارسال (%1)"
"SMS Notification","اشعارات الرسائل النصية"
"SMS Logs","سجلات الرسائل النصية"
"Configuration","الضبط"
"SMS Gateway Settings","إعدادات منصة الرسائل القصيرة"
"SMS Gateway","منصة الرسائل القصيرة"
"Admin Telephone","هاتف المشرف"
"Duplicated Mobile Number","رقم جوال متكرر"
"Login Using Mobile Number","الدخول باستخدام رقم جوال"
"Verify Customer Mobile Number","توثيق رقم جوال العميل"
"Enabled","السماح"
"Verify Mobile Number at Registration Form","توثيق رقم الجوال عند استمارة التسجيل"
"Verify Customer Address Mobile Number","توثيق رقم جوال عنوان العميل"
"OTP Configuration","ضبط رمز التحقق"
"OTP Format","صيغة رمز التحقق"
"OTP Length","طول رمز التحقق"
"OTP message","رسالة رمز التحقق"
"Use {{var otp_code}} to add the otp code to sms message.","استخدم {{var otp_code}} لإضافة رمز التحقق إلى الرسالة النصية القصيرة"
"OTP expired after (seconds)","انتهت صلاحية رمز التحقق بعد (ثواني)"
"After the OTP is sent, it will be expired after this period time","بعد إرسال رمز التحقق، ستنتهى صلاحيته بعد هذه الفترة"
"Allow customer resends OTP after (seconds)","السماح للعملاء بإعادة إرسال رمز التحقق بعد (ثواني)"
"If customer don't get OTP he can resend the sms after this period time.","إذا لم يستلم العميل رمز التحقق، يمكنه إعادة طلب رسالة نصية قصيرة بعد هذه الفترة"
"Max times of resending OTP","أقصى عدد لإعادة إرسال رمز التحقق"
"The number of times you allow customer to resend OTP.","عدد المرات التي تسمح بها للعميل بإعادة أرسال رمز التحقق"
"OTP block times (seconds)"," فترة منع رمز التحقق (ثواني)"
"After the number resend OTP greater than max time of resending OTP, Customer will be blocked in this period time for sending OTP.","After the number resend OTP greater than max time of resending OTP, Customer will be blocked in this period time for sending OTP."
"Mobile Input Settings","إعدادات مدخلات الجوال"
"Allow Country Dropdown","السماح بالقائمة المنسدلة للدولة"
"If this option is set to ""No"", The flag will not be clickable.","إذا تم ضبط هذا الخيار إلى ""لا""، لن يصبح هذا العلم قابل للنقر"
"Initial Country","الدولة المبدئية"
"The initial country will be selected in default.","سيتم اختيار الدولة المبدئية لتصبح الاختيار الأساسي"
"MaxMind GeoIP Database","MaxMind GeoIP Database"
"Allowed Countries","الدول المسموح بها"
"Specific Countries","الدول المحددة"
"Preferred Countries","الدول المفضلة"
"Send SMS to Admin when","أرسل رسالة نصية قصيرة إلى المشرف عندما"
"A customer registers an account","العميل يقوم بتسجيل حساب"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer account is created.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند إنشاء حساب عميل"
"A new order is placed","تمت إضافة طلب جديد"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer places a new order.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند قيام العميل بإضافة طلب جديد"
"A customer contact to us","تواصل عميل معنا"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer submit contact form.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند قيام العميل بإرسال نموذج تواصل"
"Customer review a product","عميل يقيم منتج"
"If this option is set to ""Yes"", A sms will be sent to admin when customer review a product.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند قيام العميل بتقييم منتج"
"Send SMS to Customer when","أرسل رسالة نصية قصيرة إلى العميل عندما"
"Mobile Number Priority","أولوية رقم الجوال"
"Customer Mobile Number","رقم جوال العميل"
"The number that customer enter at the registration form.","الرقم المدخل من قبل العميل عند استمارة التسجيل"
"Order Billing Address","عنوان فاتورة الطلب "
"The number that customer enter at the billing address.","الرقم المدخل من قبل العميل عند تسجيل عنوان الفاتورة"
"Order Shipping Address","عنوان شحن الطلب"
"The number that customer enter at the shipping address.","الرقم المدخل من قبل العميل عند تسجيل عنوان الشحن"
"He registers a new account","يقوم بتسجيل حساب جديد"
"If this option is set to ""Yes"", A sms will be sent to customer when he creates an account.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى العميل عندما ينشئ حساب"
"He places a new order","يقوم بإضافة طلب جديد"
"If this option is set to ""Yes"", A sms will be sent to customer when he places a new order.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى العميل عندما يضيف طلب"
"Message By Payment Method","رسالة بطريقة الدفع"
"Order status is changed","تغيرت حالة الطلب"
"If this option is set to ""Yes"", A sms will be sent to customer when status of an order is changed.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى العميل عندما تتغير حالة الطلب"
"Messages","الرسائل"
"New invoice is created","تم إصدار فاتورة جديدة"
"If this option is set to ""Yes"", A sms will be sent to admin when invoice is created.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند إصدار فاتورة جديدة"
"New shipment is created","تم إنشاء شحنة جديدة"
"New credit memo is created","تم إنشاء فاتورة مرتجع"
"General Information","معلومات عامة"
"Rule","Rule"
"Note","مذكرة"
"Add New Rule","Add New Rule"
"Delete rule","Delete rule"
"Delete selected rules?","Delete selected rules?"
"Delete","حذف"
"ID#","رقم مرجعي"
"Message Id","رقم الرسالة"
"Reference Id","الرقم المرجعي"
"Gateway","منفذ"
"Status","الحالة"
"Created At","أنشئت"
"Password forgotten","نسيت كلمة السر"
"2-Step Verification","التحقق بخطوتين"
" 2-Step Verification ","التحقق بخطوتين"
"This extra step shows it’s really you trying to sign in. Click to the button below to send an OTP to your phone number","هذه الخطوة الإضافية تُظهر أنك حقًا أنت الشخص الذي يحاول تسجيل الدخول. انقر على الزر أدناه لإرسال رمز التحقق إلى رقم هاتفك."
"Items in the cart","منتجات في عربة التسوق"
"Item will be shipped and delivered in 3-7 days.","الشحن والتسليم خلال 3-7 أيام"
"Discover all of our inspirations","اكتشف كل ما لدينا من الإلهام"
"Discover the latest trends, testimonials from industry leaders or relive the highlights of our events. In several formats, podcasts, replays of shows and conferences from our various events.","اكتشف أحدث الاتجاهات وشهادات قادة الصناعة أو استرجع أبرز  أحداثنا. في عدة أشكال، والبودكاست، وإعادة مشاهدة العروض والمؤتمرات من فعاليتنا المختلفة."